topic_folder,subfolder,geographies,date_range,date_range_folder,date_range_year_var,unique_ids,smallest_geo,n_dicts,n_vars,has_P_dta,n_dta,dict_status,parse_errors
ADI_standardized,ADI_standardized,Block Group,,,,blkgrp_fips10; blkgrp_fips20,Block Group,3,12,Y,6,ok,
air_conditioning,air_conditioning,Census Tract (2010),,,,tract_fips10,Census Tract,1,8,Y,1,ok,
arts_entertainment_recreation,artsentleisure_1990-2021,"Census Tract (2010, 2020); ZCTA (2010, 2020)",1990-2021,1990-2021,1990-2021,tract_fips10; year; tract_fips20; zcta10; zcta20,Census Tract,4,176,Y,8,ok,
arts_entertainment_recreation,artsentleisure_1990-2022,"Census Tract (2010, 2020, 2022); ZCTA (2010, 2020)",1990-2022,1990-2022,1990-2022,tract_fips10; year; tract_fips20; tract_fips22; zcta10; zcta20,Census Tract,8,354,,4,ok,
arts_entertainment_recreation,artsentrec_tract_2003-2017,Census Tract (2010),2003-2017,2003-2017,2003-2017,tract_fips10; year,Census Tract,1,103,Y,1,ok,
arts_entertainment_recreation,artsentrec_tract_2006-2015,Census Tract (2010),2006-2015,2006-2015,,tract_fips10,Census Tract,9,234,Y,1,ok,
arts_entertainment_recreation,artsentrec_zcta_2003-2017,ZCTA (2019),2003-2017,2003-2017,2003-2017,zcta19; year,ZCTA,1,103,Y,1,ok,
broadband,broadband_fcc_tract_2014-2018,Census Tract (2010),2014-2018,2014-2018,2014-2018,tract_fips10; year,Census Tract,1,10,Y,1,ok,
broadband,broadband_fcc_tract_2014-2020,Census Tract (2010),2014-2020,2014-2020,2014-2020,tract_fips10; year,Census Tract,1,8,Y,1,ok,
broadband,broadband_fcc_zcta_2014-2018,ZCTA (2019),2014-2018,2014-2018,2014-2018,zcta19; year,ZCTA,1,8,Y,1,ok,
broadband,broadband_fcc_zcta_2014-2020,ZCTA,2014-2020,2014-2020,,,ZCTA,1,11,Y,4,ok,
broadband,broadband_tract_zcta_2025,"Census Tract (2020, 2022); ZCTA (2020)",2025,2025,,tract_fips20; tract_fips22; zcta20,Census Tract,4,338,Y,4,ok,
broadband,internet_access_acs_tract_2015-2019,Census Tract (2010),2015-2019,2015-2019,,tract_fips10,Census Tract,1,26,Y,1,ok,
broadband,internet_access_acs_zcta_2015_2019,ZCTA (2019),2015-2019,2015-2019,,zcta19,ZCTA,1,26,Y,1,ok,
crime,crime_county_2002-2014,County,2002-2014,2002-2014,2002-2014,STCOFIPS; year,County,1,25,Y,1,ok,
dollar_stores,dollar_stores_1990-2021,"Census Tract (2010, 2020); ZCTA (2010, 2020)",1990-2021,1990-2021,1990-2021,tract_fips10; year; tract_fips20; zcta10; zcta20,Census Tract,4,32,Y,8,ok,
dollar_stores,dollar_stores_1990-2022,"Census Tract (2010, 2020, 2022); ZCTA (2010, 2020)",1990-2022,1990-2022,1990-2022,tract_fips10; year; tract_fips20; tract_fips22; zcta10; zcta20,Census Tract,8,66,,4,ok,
dollar_stores,dollar_tract_2003-2017,Census Tract (2010),2003-2017,2003-2017,2003-2017,tract_fips10; year,Census Tract,1,13,Y,1,ok,
dollar_stores,dollar_zcta_2003-2017,ZCTA (2019),2003-2017,2003-2017,2003-2017,zcta19; year,ZCTA,1,13,Y,1,ok,
eating_drinking,eatdrink_1990-2021,"Census Tract (2010, 2020); ZCTA (2010, 2020)",1990-2021,1990-2021,1990-2021,tract_fips10; year; tract_fips20; zcta10; zcta20,Census Tract,4,144,Y,8,ok,
eating_drinking,eatdrink_1990-2022,"Census Tract (2010, 2020, 2022); ZCTA (2010, 2020)",1990-2022,1990-2022,1990-2022,tract_fips10; year; tract_fips20; tract_fips22; zcta10; zcta20,Census Tract,9,326,,4,ok,
eating_drinking,eatdrink_tract_2003-2017,Census Tract (2010),2003-2017,2003-2017,2003-2017,tract_fips10; year,Census Tract,1,49,Y,1,ok,
eating_drinking,eatdrink_tract_2006-2015,Census Tract (2010),2006-2015,2006-2015,,tract_fips10,Census Tract,4,104,Y,1,ok,
eating_drinking,eatdrink_zcta_2003-2017,ZCTA (2019),2003-2017,2003-2017,2003-2017,zcta19; year,ZCTA,1,49,Y,1,ok,
education_training,edtrain_tract_2003-2017,Census Tract (2010),2003-2017,2003-2017,2003-2017,tract_fips10; year,Census Tract,1,139,Y,1,ok,
education_training,edtrain_zcta_2003-2017,ZCTA (2019),2003-2017,2003-2017,2003-2017,zcta19; year,ZCTA,1,139,Y,1,ok,
education_training,schools_nets_tract_2006-2015,Census Tract (2010),2006-2015,2006-2015,,tract_fips10,Census Tract,1,26,,1,ok,
essential_businesses,essential_businesses,"Census Tract (2010, 2020, 2022); ZCTA (2010, 2020)",2020,,2020,tract_fips10; year; tract_fips20; tract_fips22; zcta10; zcta20,Census Tract,12,1869,Y,13,ok,
essential_workers,ewrkr_2016-2020,Census Tract (2020); ZCTA (2020),2016-2020,2016-2020,,tract_fips20; zcta20,Census Tract,2,8,,2,ok,
essential_workers,ewrkr_2018-2022,"Census Tract (2020, 2022); ZCTA (2020)",2018-2022,2018-2022,,tract_fips20; tract_fips22; zcta_fips20,Census Tract,5,22,,3,ok,
grocery_stores,grocery_1990-2021,"Census Tract (2010, 2020); ZCTA (2010, 2020)",1990-2021,1990-2021,1990-2021,tract_fips10; year; tract_fips20; zcta10; zcta20,Census Tract,4,112,Y,8,ok,
grocery_stores,grocery_1990-2022,"Census Tract (2010, 2020, 2022); ZCTA (2010, 2020)",1990-2022,1990-2022,1990-2022,tract_fips10; year; tract_fips20; tract_fips22; zcta10; zcta20,Census Tract,8,226,,4,ok,
grocery_stores,grocery_tract_2003-2017,Census Tract (2010),2003-2017,2003-2017,2003-2017,tract_fips10; year,Census Tract,1,31,Y,1,ok,
grocery_stores,grocery_zcta_2003-2017,ZCTA (2019),2003-2017,2003-2017,2003-2017,zcta19; year,ZCTA,1,31,Y,1,ok,
health_care_nets,health_care_nets_1990-2021,"Census Tract (2010, 2020); ZCTA (2010, 2020)",1990-2021,1990-2021,1990-2021,tract_fips10; year; tract_fips20; zcta10; zcta20,Census Tract,4,336,Y,8,ok,
health_care_nets,health_care_nets_1990-2022,"Census Tract (2010, 2020, 2022); ZCTA (2010, 2020)",1990-2022,1990-2022,1990-2022,tract_fips10; year; tract_fips20; tract_fips22; zcta10; zcta20,Census Tract,8,674,,4,ok,
health_care_nets,health_care_nets_tract_2003-2017,Census Tract (2010),2003-2017,2003-2017,2003-2017,tract_fips10; year,Census Tract,3,741,Y,3,ok,
health_care_nets,health_care_nets_tract_2006-2015,Census Tract (2010),2006-2015,2006-2015,,tract_fips10,Census Tract,4,104,,3,ok,
health_care_nets,health_care_nets_zcta_2003-2017,ZCTA (2019),2003-2017,2003-2017,2003-2017,zcta19; year,ZCTA,4,970,Y,4,ok,
HMDA,HMDA,Census Tract (2010),,,,tract_fips10; year,Census Tract,3,317,,48,ok,
hospitals,2023,"Census Tract (2010, 2020); ZCTA (2010, 2020)",2023,2023,,tract_fips10; tract_fips20; zcta10; zcta20,Census Tract,4,432,,4,ok,
land_cover,landcover_1985-2023,"Census Tract (2010, 2020); ZCTA (2010, 2020)",1985-2023,1985-2023,,tract_fips10; year; tract_fips20; zcta10; zcta20,Census Tract,8,272,,36,ok,
land_cover,landcover_tract_2001-2016,Census Tract,2001-2016,2001-2016,,tract_fips,Census Tract,1,37,Y,2,ok,
land_cover,landcover_zcta_2001-2016,ZCTA (2019),2001-2016,2001-2016,,zcta19,ZCTA,1,38,Y,1,ok,
law_enforcement,justice_safety_tract_2006-2015,Census Tract (2010),2006-2015,2006-2015,,tract_fips10,Census Tract,2,52,Y,2,ok,
law_enforcement,lawenf_1990-2021,"Census Tract (2010, 2020); ZCTA (2010, 2020)",1990-2021,1990-2021,1990-2021,tract_fips10; year; tract_fips20; zcta10; zcta20,Census Tract,4,96,Y,8,ok,
law_enforcement,lawenf_1990-2022,"Census Tract (2010, 2020, 2022); ZCTA (2010, 2020)",1990-2022,1990-2022,1990-2022,tract_fips10; year; tract_fips20; tract_fips22; zcta10; zcta20,Census Tract,8,194,,4,ok,
law_enforcement,lawenf_tract_2003-2017,Census Tract (2010),2003-2017,2003-2017,2003-2017,tract_fips10; year,Census Tract,1,76,Y,1,ok,
law_enforcement,lawenf_zcta_2003-2017,ZCTA (2019),2003-2017,2003-2017,2003-2017,zcta19; year,ZCTA,1,76,Y,1,ok,
libraries,libraries_1992-2020,"Census Tract (2010, 2020); ZCTA (2010, 2020)",1992-2020,1992-2020,1992-2021,tract_fips10; year; tract_fips20; zcta10; zcta20,Census Tract,5,35,,4,ok,
liquor_tobacco_convenience,lqtbcan_tractZCTA_1990-2022,"Census Tract (2010, 2020, 2022); ZCTA (2010, 2020)",1990-2022,1990-2022,1990-2022,tract_fips10; year; tract_fips20; tract_fips22; zcta10; zcta20,Census Tract,8,194,,4,ok,
liquor_tobacco_convenience,lqtbcon_tract_2003-2017,Census Tract (2010),2003-2017,2003-2017,2003-2017,tract_fips10; year,Census Tract,1,40,Y,1,ok,
liquor_tobacco_convenience,lqtbcon_tractZCTA_1990-2021,"Census Tract (2010, 2020); ZCTA (2010, 2020)",1990-2021,1990-2021,1990-2021,tract_fips10; year; tract_fips20; zcta10; zcta20,Census Tract,4,96,Y,8,ok,
liquor_tobacco_convenience,lqtbcon_zcta_2003-2017,ZCTA (2019),2003-2017,2003-2017,2003-2017,zcta19; year,ZCTA,1,40,Y,1,ok,
NHPD,NHPD_TractZCTA_2017-2024,"Census Tract (2010, 2020, 2022); ZCTA (2010, 2020)",2017-2024,2017-2024,,tract_fips10; tract_fips20; tract_fips22; zcta10; zcta20,Census Tract,4,2551,,4,ok,
