study_id,archive,deposit_via,title,version,version_date,version_date_flag,doi,url,authors,publication_year,datacite_version,version_check,datacite_status,datacite_url,topic_folder,geographies,date_range,unique_ids,smallest_geo
38506,ICPSR,legacy,"Voter Registration, Turnout, and Partisanship by County, United States, 2004-2022",V2,10/14/2024,,10.3886/ICPSR38506.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38506,Will Clary; Iris N. Gomez-Lopez; Megan Chenoweth; Lindsay Gypin; Philippa Clarke; Grace Noppert; Mao Li; Ken Kollman,2022,v2,match,resolved,https://www.icpsr.umich.edu/web/ICPSR/studies/38506/versions/V2,,,,,
38528,ICPSR,legacy,"Socioeconomic Status and Demographic Characteristics of Census Tracts and ZIP Code Tabulation Areas, United States, 1990-2022",V6,10/27/2025,,10.3886/ICPSR38528.v6,https://www.openicpsr.org/openicpsr/project/38528/version/V6/view,Philippa Clarke; Robert Melendez; Grace Noppert; Megan Chenoweth; Lindsay Gypin,2022,v6,match,resolved,https://www.icpsr.umich.edu/web/ICPSR/studies/38528/versions/V6,,,,,
38559,ICPSR,legacy,"Internet Access by Census Tract and ZIP Code Tabulation Area, United States, 2015-2019",V1,9/29/2022,,10.3886/ICPSR38559.v1,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38559,Mao Li; Iris Gomez-Lopez; Anam Khan; Philippa Clarke; Megan Chenoweth,2022,v1,match,resolved,https://www.icpsr.umich.edu/web/ICPSR/studies/38559/versions/V1,,,,,
38567,ICPSR,legacy,"Broadband Internet Availability, Speed, and Adoption by Census Tract and ZIP Code Tabulation Area, United States, 2014-2020",V1,11/14/2022,,10.3886/ICPSR38567.v1,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38567,Mao Li; Iris Gomez-Lopez; Anam Khan; Philippa Clarke; Megan Chenoweth,2022,v1,match,resolved,https://www.icpsr.umich.edu/web/ICPSR/studies/38567/versions/V1,,,,,
38569,ICPSR,legacy,"School District Characteristics and School Counts by Census Tract, ZIP Code Tabulation Area, and School District, 2000-2018",V1,10/10/2022,,10.3886/ICPSR38569.v1,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38569,Min Hee Kim; Mao Li; Dominique Sylvers; Michael Esposito; Iris Gomez-Lopez; Philippa Clarke; Megan Chenoweth,2022,v1,match,resolved,https://www.icpsr.umich.edu/web/ICPSR/studies/38569/versions/V1,,,,,
38579,ICPSR,legacy,"Neighborhood-School Gap by Census Tract and ZIP Code Tabulation Area, United States, 2009-2010 and 2015-2016",V2,11/14/2022,,10.3886/ICPSR38579.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38579,Iris Gomez-Lopez; Min Hee Kim; Mao Li; Dominique Sylvers; Michael Esposito; Philippa Clarke; Megan Chenoweth,2022,v2,match,resolved,https://www.icpsr.umich.edu/web/ICPSR/studies/38579/versions/V2,,,,,
38580,ICPSR,legacy,"Street Connectivity by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",V3,11/19/2025,,10.3886/ICPSR38580.v3,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38580,Jennifer Ailshire; Robert Melendez; Megan Chenoweth; Lindsay Gypin,2022,v3,match,resolved,https://www.icpsr.umich.edu/web/ICPSR/studies/38580/versions/V3,,,,,
38584,ICPSR,legacy,"Traffic Volume by Census Tract and ZIP Code Tabulation Area, United States, 1963-2019",V2,11/10/2022,,10.3886/ICPSR38584.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38584,Jessica M. Finlay; Robert Melendez; Michael Esposito; Anam Khan; Mao Li; Iris Gomez-Lopez; Philippa Clarke; Megan Chenoweth,2022,v2,match,resolved,https://www.icpsr.umich.edu/web/ICPSR/studies/38584/versions/V2,,,,,
38585,ICPSR,legacy,"Primary and Secondary Roads by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",V2,5/20/2024,,10.3886/ICPSR38585.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38585,Longrong Pan; Robert Melendez; Philippa Clarke; Grace Noppert; Lindsay Gypin,2022,v2,match,resolved,https://www.icpsr.umich.edu/web/ICPSR/studies/38585/versions/V2,,,,,
38586,ICPSR,legacy,"Parks by Census Tract and ZIP Code Tabulation Area, United States, 2018 and 2022",V2,11/29/2023,,10.3886/ICPSR38586.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38586,Robert Melendez; Longrong Pan; Mao Li; Anam Khan; Iris Gomez-Lopez; Philippa Clarke; Megan Chenoweth; Lindsay Gypin; Birch Chemberlin,2022,v2,match,resolved,https://archive.icpsr.umich.edu/view/studies/38586/versions/V2,,,,,
