study_id,status,title,version,version_date,seed_doi,resolve_doi_used,related_to_doi,url,authors,topic_folder,subfolder,geographies,date_range,unique_ids,smallest_geo,match_flag
38506,current,"Voter Registration, Turnout, and Partisanship by County, United States, 2004-2022",V2,10/14/2024,10.3886/ICPSR38506.v2,10.3886/ICPSR38506.v2,,https://www.icpsr.umich.edu/web/ICPSR/studies/38506/versions/V2,Will Clary; Iris N. Gomez-Lopez; Megan Chenoweth; Lindsay Gypin; Philippa Clarke; Grace Noppert; Mao Li; Ken Kollman,voting,voting_county_2004-2022,,2004-2022,,,NO_DICT
38528,current,"Socioeconomic Status and Demographic Characteristics of Census Tracts and ZIP Code Tabulation Areas, United States, 1990-2022",V6,10/27/2025,10.3886/ICPSR38528.v6,10.3886/ICPSR38528.v6,,https://www.icpsr.umich.edu/web/ICPSR/studies/38528/versions/V6,Philippa Clarke; Robert Melendez; Grace Noppert; Megan Chenoweth; Lindsay Gypin,ses_demographics,sesdem_2018-2022,"Census Tract (2010, 2020); ZCTA (2020)",2018-2022,tract_fips10; tract_fips20; zcta20,Census Tract,
38559,current,"Internet Access by Census Tract and ZIP Code Tabulation Area, United States, 2015-2019",V1,9/29/2022,10.3886/ICPSR38559.v1,10.3886/ICPSR38559.v1,,https://www.icpsr.umich.edu/web/ICPSR/studies/38559/versions/V1,Mao Li; Iris Gomez-Lopez; Anam Khan; Philippa Clarke; Megan Chenoweth,broadband,internet_access_acs_tract_2015-2019; internet_access_acs_zcta_2015_2019,Census Tract (2010); ZCTA (2019),2015-2019,tract_fips10; zcta19,Census Tract,MULTI_SUBFOLDER
38567,current,"Broadband Internet Availability, Speed, and Adoption by Census Tract and ZIP Code Tabulation Area, United States, 2014-2020",V1,11/14/2022,10.3886/ICPSR38567.v1,10.3886/ICPSR38567.v1,,https://www.icpsr.umich.edu/web/ICPSR/studies/38567/versions/V1,Mao Li; Iris Gomez-Lopez; Anam Khan; Philippa Clarke; Megan Chenoweth,broadband,broadband_fcc_tract_2014-2020; broadband_fcc_zcta_2014-2020,Census Tract (2010); ZCTA,2014-2020,tract_fips10; year,Census Tract,MULTI_SUBFOLDER
38569,current,"School District Characteristics and School Counts by Census Tract, ZIP Code Tabulation Area, and School District, 2000-2018",V1,10/10/2022,10.3886/ICPSR38569.v1,10.3886/ICPSR38569.v1,,https://www.icpsr.umich.edu/web/ICPSR/studies/38569/versions/V1,Min Hee Kim; Mao Li; Dominique Sylvers; Michael Esposito; Iris Gomez-Lopez; Philippa Clarke; Megan Chenoweth,schools,school_counts_tract_2000-2018; school_counts_zcta_2000-2018; schools_district_2000-2018,Census Tract (2010); ZCTA (2019); School District,2000-2018,tract_fips10; year; zcta19; leaid,Census Tract,MULTI_SUBFOLDER
38579,current,"Neighborhood-School Gap by Census Tract and ZIP Code Tabulation Area, United States, 2009-2010 and 2015-2016",V2,11/14/2022,10.3886/ICPSR38579.v2,10.3886/ICPSR38579.v2,,https://www.icpsr.umich.edu/web/ICPSR/studies/38579/versions/V2,Iris Gomez-Lopez; Min Hee Kim; Mao Li; Dominique Sylvers; Michael Esposito; Philippa Clarke; Megan Chenoweth,schools,neighborhood_school_gap_tract_0910_1516; neighborhood_school_gap_zcta_0910_1516,Census Tract (2010); ZCTA (2019),2009-2016,tract_fips10; year; zcta19,Census Tract,MULTI_SUBFOLDER
38580,current,"Street Connectivity by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",V3,11/19/2025,10.3886/ICPSR38580.v3,10.3886/ICPSR38580.v3,,https://www.icpsr.umich.edu/web/ICPSR/studies/38580/versions/V3,Jennifer Ailshire; Robert Melendez; Megan Chenoweth; Lindsay Gypin,street_connectivity,street_connectivity_tract_2010; street_connectivity_tract_2020; street_connectivity_zcta_2010; street_connectivity_zcta_2020,Census Tract (2010); Census Tract (2020); ZCTA,2010; 2020,tract_fips10; tract_fips20; zcta,Census Tract,MULTI_SUBFOLDER
38584,current,"Traffic Volume by Census Tract and ZIP Code Tabulation Area, United States, 1963-2019",V2,11/10/2022,10.3886/ICPSR38584.v2,10.3886/ICPSR38584.v2,,https://www.icpsr.umich.edu/web/ICPSR/studies/38584/versions/V2,Jessica M. Finlay; Robert Melendez; Michael Esposito; Anam Khan; Mao Li; Iris Gomez-Lopez; Philippa Clarke; Megan Chenoweth,traffic,traffic_volume_interpolated_zcta_1963-2019; traffic_volume_noninterpolated_tract_1963-2019,ZCTA (2019); Census Tract (2010),1963-2019,zcta19; year; tract_fips10,Census Tract,MULTI_SUBFOLDER
38585,current,"Primary and Secondary Roads by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",V2,5/20/2024,10.3886/ICPSR38585.v2,10.3886/ICPSR38585.v2,,https://www.icpsr.umich.edu/web/ICPSR/studies/38585/versions/V2,Longrong Pan; Robert Melendez; Philippa Clarke; Grace Noppert; Lindsay Gypin,traffic,street_type_tract_2010; street_type_zcta_2010,Census Tract (2010); ZCTA,2010,tract_fips10; zcta,Census Tract,MULTI_SUBFOLDER
38586,current,"Parks by Census Tract and ZIP Code Tabulation Area, United States, 2018 and 2022",V2,11/29/2023,10.3886/ICPSR38586.v2,10.3886/ICPSR38586.v2,,https://archive.icpsr.umich.edu/view/studies/38586/versions/V2,Robert Melendez; Longrong Pan; Mao Li; Anam Khan; Iris Gomez-Lopez; Philippa Clarke; Megan Chenoweth; Lindsay Gypin; Birch Chemberlin,parks,parks_tract_2018; parks_zcta_2018,Census Tract (2010); ZCTA (2019),2018,tract_fips; tract_fips10; zcta19,Census Tract,MULTI_SUBFOLDER
