topic,subfolder,filename,ext,name_pattern,stage,varname_col,ncols,header,error,relpath
ADI_standardized,documentation,nanda_ADI_std_blckgrp_2015_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Obs | Unique | Mean | Min | Max | Type | Label,,ADI_standardized\documentation\nanda_ADI_std_blckgrp_2015_01_data_dictionary.xlsx
ADI_standardized,documentation,nanda_ADI_std_blckgrp_2020_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Obs | Unique | Mean | Min | Max | Type | Label,,ADI_standardized\documentation\nanda_ADI_std_blckgrp_2020_01_data_dictionary.xlsx
ADI_standardized,documentation,nanda_ADI_std_blckgrp_2022_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Obs | Unique | Mean | Min | Max | Type | Label,,ADI_standardized\documentation\nanda_ADI_std_blckgrp_2022_01_data_dictionary.xlsx
air_conditioning,documentation,nanda_AC_Tract10_2016_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,air_conditioning\documentation\nanda_AC_Tract10_2016_01_data_dictionary.xlsx
arts_entertainment_recreation,artsentleisure_1990-2021,nanda_artsentleisure_Tract10_1990-2021_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,arts_entertainment_recreation\artsentleisure_1990-2021\documentation\nanda_artsentleisure_Tract10_1990-2021_01_data_dictionary.xlsx
arts_entertainment_recreation,artsentleisure_1990-2021,nanda_artsentleisure_Tract20_1990-2021_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,arts_entertainment_recreation\artsentleisure_1990-2021\documentation\nanda_artsentleisure_Tract20_1990-2021_01_data_dictionary.xlsx
arts_entertainment_recreation,artsentleisure_1990-2021,nanda_artsentleisure_ZCTA10_1990-2021_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,arts_entertainment_recreation\artsentleisure_1990-2021\documentation\nanda_artsentleisure_ZCTA10_1990-2021_01_data_dictionary.xlsx
arts_entertainment_recreation,artsentleisure_1990-2021,nanda_artsentleisure_ZCTA20_1990-2021_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,arts_entertainment_recreation\artsentleisure_1990-2021\documentation\nanda_artsentleisure_ZCTA20_1990-2021_01_data_dictionary.xlsx
arts_entertainment_recreation,artsentleisure_1990-2022,validate_artsentleisure_Tract10_1990-2022_2026-04-09_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,validate,Variable,3,Variable | Type | Label,,arts_entertainment_recreation\artsentleisure_1990-2022\code\validate_artsentleisure_Tract10_1990-2022_2026-04-09_data_dictionary.xlsx
arts_entertainment_recreation,artsentleisure_1990-2022,validate_artsentleisure_Tract10_1990-2022_2026-04-16_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,validate,Variable,3,Variable | Type | Label,,arts_entertainment_recreation\artsentleisure_1990-2022\code\validate_artsentleisure_Tract10_1990-2022_2026-04-16_data_dictionary.xlsx
arts_entertainment_recreation,artsentleisure_1990-2022,validate_artsentleisure_Tract20_1990-2022_2026-04-09_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,validate,Variable,3,Variable | Type | Label,,arts_entertainment_recreation\artsentleisure_1990-2022\code\validate_artsentleisure_Tract20_1990-2022_2026-04-09_data_dictionary.xlsx
arts_entertainment_recreation,artsentleisure_1990-2022,validate_artsentleisure_Tract20_1990-2022_2026-04-16_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,validate,Variable,3,Variable | Type | Label,,arts_entertainment_recreation\artsentleisure_1990-2022\code\validate_artsentleisure_Tract20_1990-2022_2026-04-16_data_dictionary.xlsx
arts_entertainment_recreation,artsentleisure_1990-2022,validate_artsentleisure_Zcta10_1990-2022_2026-04-09_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,validate,Variable,3,Variable | Type | Label,,arts_entertainment_recreation\artsentleisure_1990-2022\code\validate_artsentleisure_Zcta10_1990-2022_2026-04-09_data_dictionary.xlsx
